kommunkod,kommun,M,C,FP,KD,MP,S,V,SD,ovr,ogiltiga,ej_rost,totalt
1783,Hagfors,841,525,165,165,147,4299,520,1139,142,65,1529,9537
1784,Arvika,2962,1328,584,628,851,6621,1022,2320,502,211,3102,20131
1785,Säffle,1931,1372,339,428,337,3361,351,1805,185,93,1771,11973
1814,Lekeberg,835,663,155,334,210,1480,210,897,155,61,655,5655
1860,Laxå,518,209,110,203,122,1649,207,679,63,39,626,4425
1861,Hallsberg,1505,635,300,446,447,4485,519,1713,230,113,1380,11773
1862,Degerfors,679,268,123,219,259,3287,520,927,144,60,1023,7509
1863,Hällefors,568,205,95,92,138,2078,289,790,143,35,940,5373
1864,Ljusnarsberg,385,161,72,68,103,1314,208,743,76,45,620,3795
1880,Örebro,19388,4726,4955,5736,7731,29958,5282,10694,3959,940,14067,107436
1881,Kumla,2430,684,675,783,672,5165,578,2198,344,179,1929,15637
1882,Askersund,1330,650,238,335,317,2906,338,1355,195,83,1191,8938
1883,Karlskoga,3713,682,653,719,947,8878,993,2858,434,179,3350,23406
1884,Nora,1132,519,244,268,353,2734,377,1068,229,73,1147,8144
1885,Lindesberg,2587,1144,433,568,714,5670,662,3204,366,134,2349,17831
1904,Skinnskatteberg,388,187,149,70,86,1245,185,528,71,19,519,3447
1907,Surahammar,847,232,213,142,213,2833,451,1151,163,72,1157,7474
1960,Kungsör,998,384,262,235,193,1936,268,931,125,54,863,6249
1961,Hallstahammar,1448,369,370,315,389,4343,587,1606,228,97,1866,11618
1962,Norberg,535,163,107,85,161,1447,334,766,168,46,623,4435
1980,Västerås,22759,4126,5925,4109,5402,29830,4713,11885,3032,946,15752,108479
1981,Sala,2888,1600,587,522,678,4867,670,2238,479,183,2365,17077
1982,Fagersta,1209,195,207,205,326,3512,508,1455,192,86,1562,9457
1983,Köping,2773,965,587,498,632,6487,886,2781,329,161,3096,19195
1984,Arboga,1852,498,349,315,469,3436,449,1387,220,101,1573,10649
2021,Vansbro,640,629,96,263,121,1623,253,720,96,67,835,5343
2023,Malung-Sälen,1506,575,247,157,181,2414,315,1154,125,94,1169,7937
2026,Gagnef,1225,786,211,284,293,2214,348,1170,240,92,928,7791
2029,Leksand,2511,1056,403,787,614,3110,515,1247,341,123,1533,12240
2031,Rättvik,1593,760,270,257,359,2362,337,1270,250,116,1375,8949
2034,Orsa,666,493,127,147,230,1523,261,956,204,33,830,5470
2039,Älvdalen,638,452,109,105,109,1955,211,1028,107,69,803,5586
2061,Smedjebacken,1109,401,139,158,269,3262,493,1365,195,81,1078,8550
2062,Mora,2629,1338,386,416,625,4776,605,2279,403,145,2504,16106
2080,Falun,8871,3058,1711,1466,2749,11555,2271,4912,1658,478,5596,44325
2081,Borlänge,5713,1615,1181,1001,1768,11825,1953,5617,1067,406,5152,37298
2082,Säter,1376,772,217,239,284,2489,398,1393,237,97,1092,8594
2083,Hedemora,1756,920,278,306,445,3478,605,1732,403,127,1825,11875
2084,Avesta,2264,825,453,439,525,6121,820,2837,370,159,2411,17224
2085,Ludvika,2590,691,522,402,780,6836,1287,3363,370,258,2906,20005
2101,Ockelbo,502,440,83,86,142,1489,229,804,106,37,680,4598
2104,Hofors,681,274,171,106,182,2893,660,975,158,69,1163,7332
2121,Ovanåker,1108,1028,167,632,270,2802,291,1228,158,78,1355,9117
2132,Nordanstig,907,583,212,227,228,2398,357,1127,165,77,1130,7411
2161,Ljusdal,2278,1041,383,291,592,4420,676,2009,429,135,2517,14771
2180,Gävle,13500,2753,3248,2087,3991,21915,4310,10170,2325,576,9857,74732
2181,Sandviken,3830,1273,921,677,961,10816,1763,3789,711,224,4023,28988
2182,Söderhamn,2553,1175,442,470,691,7393,1058,2687,498,159,3115,20241
2183,Bollnäs,2612,1444,526,546,720,6672,1012,3191,447,161,3338,20669
2184,Hudiksvall,3940,2233,687,809,1461,9352,1698,3349,821,242,4498,29090
2260,Ånge,735,483,94,174,126,3214,372,1044,222,54,1190,7708
2262,Timrå,1532,569,408,312,354,5937,789,1639,264,85,1924,13813
2280,Härnösand,2530,1055,538,545,1136,7063,1042,1799,630,108,2808,19254
2281,Sundsvall,12690,3393,2892,2183,3317,26618,3611,7579,2273,480,10216,75252
2282,Kramfors,1410,1188,208,298,413,6447,930,1209,345,93,2204,14745
2283,Sollefteå,1377,857,270,267,402,7037,865,1681,352,123,2281,15512
2284,Örnsköldsvik,5559,3377,1030,2318,1325,18661,1602,2618,904,399,5765,43558
2303,Ragunda,333,454,43,58,97,1719,255,491,101,48,712,4311
2305,Bräcke,551,492,86,57,120,2002,260,533,125,50,821,5097
2309,Krokom,1631,1443,216,259,432,3421,615,988,248,100,1557,10910
2313,Strömsund,892,788,83,160,171,3858,556,1092,155,99,1512,9366
2321,Åre,1467,932,208,270,601,2151,332,640,205,87,1110,8003
2326,Berg,809,742,84,82,179,1855,216,671,119,42,854,5653
2361,Härjedalen,1160,707,142,130,200,2903,349,1027,147,77,1422,8264
2380,Östersund,7670,3929,1508,1103,2960,15394,2669,3782,1586,409,6578,47588
2401,Nordmaling,631,527,238,214,107,1996,425,433,73,45,890,5579
