kommunkod,kommun,M_2010,C_2010,FP_2010,KD_2010,MP_2010,S_2010,V_2010,SD_2010,ovr_2010,ogiltiga_2010,ej_rost_2010,totalt_2010,M_2014,C_2014,FP_2014,KD_2014,MP_2014,S_2014,V_2014,SD_2014,ovr_2014,ogiltiga_2014,ej_rost_2014,totalt_2014,
319,Älvkarleby,1136,189,296,149,304,2875,401,466,58,86,1070,7030,774,187,171,132,229,2840,375,1198,130,60,939,7035,
330,Knivsta,3435,830,856,636,664,1720,311,399,130,78,1197,10256,2977,777,630,653,774,2111,383,1048,363,113,1212,11041,
331,Heby,1979,1197,429,460,354,2818,402,578,105,158,1905,10385,1443,1156,237,427,315,3132,408,1454,252,144,1577,10545,
360,Tierp,2658,1344,588,471,606,5536,690,810,204,207,2502,15616,2010,1294,380,390,553,5669,680,1898,434,169,2273,15750,
380,Uppsala,37802,9681,11716,8248,14291,30744,8158,4916,2503,1306,19951,149316,30520,8135,10180,7108,14513,35382,10498,11118,9356,960,18509,156279,
381,Enköping,8755,2527,1330,1164,1511,7325,896,1370,283,366,4754,30281,7068,2380,1329,1071,1462,8067,985,3607,729,319,4399,31416,
382,Östhammar,3888,1469,803,573,610,4861,619,763,181,211,2841,16819,3017,1285,601,458,527,5478,611,1894,472,182,2528,17053,
428,Vingåker,1407,401,240,274,377,2424,237,426,55,80,969,6890,977,379,154,209,272,2300,238,1209,157,59,781,6735,
461,Gnesta,1946,588,384,265,649,1897,374,397,103,81,1156,7840,1610,599,226,201,529,2081,404,911,319,75,1023,7978,
480,Nyköping,9479,2035,2376,1837,2787,11688,1618,1805,374,384,5664,40047,8212,2139,1606,1554,2659,12139,1722,4477,1176,393,5186,41263,
481,Oxelösund,1719,211,394,248,534,3288,577,356,107,92,1331,8857,1301,206,260,209,398,3348,604,1066,205,94,1257,8948,
482,Flen,2451,831,488,496,599,3923,561,700,92,130,1851,12122,1892,762,347,355,501,3671,552,1802,254,99,1747,11982,
483,Katrineholm,5175,1308,1399,885,1566,7956,955,1299,165,278,3784,24770,4064,1356,906,745,1278,8432,999,3054,517,209,3518,25078,
484,Eskilstuna,15352,2713,3903,2579,4623,21003,3186,4646,583,724,11894,71206,13052,2624,2680,2206,3721,21722,3284,10170,1758,734,11764,73715,
